회사명,거래소코드,회계년도,[공통]배당성향(IFRS),[공통]평균배당률(IFRS)
롯데지주(주),004990,2022/12,168.57,507.66
롯데칠성음료(주),005300,2022/12,27.68,660.08
롯데케미칼(주),011170,2022/12,0,69.42
롯데하이마트(주),071840,2022/12,0,5.88
만호제강(주),001080,2022/06,11.36,17.43
명문제약(주),017180,2022/12,0,0
명신산업(주),009900,2022/12,0,0
무림페이퍼(주),009200,2022/12,0,2
무림피앤피(주),009580,2022/12,48.35,6
문배철강(주),008420,2022/12,3.72,9.51
미래산업(주),025560,2022/12,0,0
미래에셋생명보험(주),085620,2022/12,0,0
미래에셋증권(주),006800,2022/12,31.04,3.01
미원상사(주),002840,2022/12,3.68,36.31
미원스페셜티케미칼(주),268280,2022/12,9.95,266.08
미원홀딩스(주),107590,2022/12,13.93,123.17
미원화학(주),134380,2022/12,18.89,127.75
미창석유공업(주),003650,2022/12,18.11,43.48
백광산업(주),001340,2022/12,11.81,11.79
범양건영(주),002410,2022/12,0,0
보해양조(주),000890,2022/12,0,0
부광약품(주),003000,2022/12,0,0
부국증권(주),001270,2022/12,29.51,20.2
부국철강(주),026940,2022/12,21.12,15
부산산업(주),011390,2022/12,0,5
부산주공(주),005030,2022/12,0,0
비케이탑스(주),030790,2022/12,0,0
사조동아원(주),008040,2022/12,0,0
사조산업(주),007160,2022/12,11.05,6.99
사조씨푸드(주),014710,2022/12,8.3,4
삼부토건(주),001470,2022/12,0,0
삼성SDI(주),006400,2022/12,7.96,19.33
삼성공조(주),006660,2022/12,4.95,15.79
삼성물산(주),028260,2022/12,25.75,1996.86
삼성바이오로직스(주),207940,2022/12,0,0
삼성생명보험(주),032830,2022/12,87.36,538.72
삼성에스디에스(주),018260,2022/12,46.69,639.77
삼성엔지니어링(주),028050,2022/12,0,0
삼성전기(주),009150,2022/12,22.64,40.93
삼성전자(주),005930,2022/12,9.65,273.31
삼성제약(주),001360,2022/12,0,0
삼성중공업(주),010140,2022/12,0,0
삼성증권(주),016360,2022/12,40.21,33.11
삼성카드(주),029780,2022/12,43.23,43.39
삼성화재해상보험(주),000810,2022/12,51.4,2215.98
삼아알미늄(주),006110,2022/12,15.98,50
삼양식품(주),003230,2022/12,5.93,11.88
삼양통상(주),002170,2022/12,33.09,28.29
삼영무역(주),002810,2022/12,31.46,114.55
삼영전자공업(주),005680,2022/12,32.46,60
삼익티에이치케이(주),004380,2022/12,37.82,59.14
삼일제약(주),000520,2022/12,0,0
삼정펄프(주),009770,2022/12,0,20
삼진제약(주),005500,2022/12,50.14,76.15
삼호개발(주),010960,2022/12,85.34,33.99
삼화왕관(주),004450,2022/12,0,11.82
삼화전기(주),009470,2022/12,17.83,30
삼화전자공업(주),011230,2022/12,0,0
삼화콘덴서공업(주),001820,2022/12,23.73,49.35
삼화페인트공업(주),000390,2022/12,115.09,43.36
상신브레이크(주),041650,2022/12,17.39,18.03
새론오토모티브(주),075180,2022/12,0,28
샘표(주),007540,2022/12,4.17,15.06
샘표식품(주),248170,2022/12,7.99,39.99
서울도시가스(주),017390,2022/12,39.18,19.41
서울식품공업(주),004410,2022/12,0,0
선도전기(주),007610,2022/12,0,0
성문전자(주),014910,2022/12,36.22,0.96
성보화학(주),003080,2022/12,73.25,26.52
성신양회(주),004980,2022/12,0,3.9
성창기업지주(주),000180,2022/12,0,0
세기상사(주),002420,2022/12,0,0
세방(주),004360,2022/12,16.6,56.83
세방전지(주),004490,2022/12,16.44,113.81
세원이앤씨(주),091090,2022/12,0,0
세종공업(주),033530,2022/12,41.57,19.45
세하(주),027970,2022/12,0,0
솔루스첨단소재(주),336370,2022/12,11.58,100.17
송원산업(주),004430,2022/12,9.77,0
스틱인베스트먼트(주),026890,2022/12,28.13,35.1
신대양제지(주),016590,2022/12,22.25,22.38
신라교역(주),004970,2022/12,50.38,98.66
신성통상(주),005390,2022/06,0,0
신세계건설(주),034300,2022/12,0,10
신송홀딩스(주),006880,2022/12,32.95,21.89
신영증권(주),001720,2022/03,35.62,40.31
신일전자(주),002700,2022/12,67.48,1.98
신풍제약(주),019170,2022/12,0,0
쌍용씨앤이(주),003410,2022/12,38.28,109.66
써니전자(주),004770,2022/12,0,0
씨에스윈드(주),112610,2022/12,0,98.24
씨제이(주),001040,2022/12,78.35,46.88
씨제이대한통운(주),000120,2022/12,4.97,8.74
씨제이씨지브이(주),079160,2022/12,0,0
씨제이씨푸드(주),011150,2022/12,0,0
씨제이제일제당(주),097950,2022/12,15.09,48.99
아남전자(주),008700,2022/12,0,0
아세아(주),002030,2022/12,48.37,53.12
아세아시멘트(주),183190,2022/12,17.69,44.98
아세아제지(주),002310,2022/12,13.79,20
아시아나아이디티(주),267850,2022/12,64.56,0
아시아나항공(주),020560,2022/12,0,0
아이에스동서(주),010780,2022/12,0,0
아주스틸(주),139990,2022/12,0,0
애경산업(주),018250,2022/12,49.25,30.77
애경케미칼(주),161000,2022/12,47.06,108.92
에스디바이오센서(주),137310,2022/12,3.28,56.82
에스엘(주),005850,2022/12,16.9,118.98
에스지씨에너지(주),005090,2022/12,29.64,33.38
에스케이(주),034730,2022/12,35.84,1208.67
에스케이가스(주),018670,2022/12,18.36,106.96
에스케이네트웍스(주),001740,2022/12,431.03,4.05
에스케이디스커버리(주),006120,2022/12,14.57,21.23
에스케이디앤디(주),210980,2022/12,13.69,41.83
에스케이렌터카(주),068400,2022/12,32.11,28.81
에스케이바이오사이언스(주),302440,2022/12,0,0
에스케이바이오팜(주),326030,2022/12,0,0
에스케이스퀘어(주),402340,2022/12,0,0
에스케이씨(주),011790,2022/12,31.57,19.74
에스케이아이이테크놀로지(주),361610,2022/12,0,0
에스케이오션플랜트(주),100090,2022/12,0,0
에스케이증권(주),001510,2022/12,47.49,0.89
에스케이케미칼(주),285130,2022/12,36.16,25.35
에스케이텔레콤(주),017670,2022/12,20.81,593.47
에스케이하이닉스(주),000660,2022/12,29.57,22.56
에쓰-오일(주),010950,2022/12,16.61,119.84
에쓰씨엔지니어링(주),023960,2022/12,0,0
