주력제품 해외 시장점유율(퍼센트),주력제품 국내 시장점유율(퍼센트),매출구조비율(중소기업),매출구조비율(글로벌),총자산회전율,자기자본비율,부채비율,순이익률,등록보유(특허권),창업 당시 창업자 최종학력,창업 당시 목표시장,기업성장단계,해외수출 및 진출과정 애로사항,Exit
0.0,0.4,10.0,0.0,301.741,38.608,159.016,3.54,4,3,3,3,4,0
0.01,1.0,25.0,5.0,112.063,43.645,129.119,4.159,11,3,3,4,4,1
0.0,0.3,70.0,0.0,75.799,9.566,945.365,-1.311,8,3,3,4,3,0
0.0,30.0,0.0,0.0,44.605,33.553,198.039,2.655,8,5,1,3,1,0
0.2,9.0,100.0,0.0,137.829,35.716,179.989,1.589,1,1,3,3,3,0
0.01,5.0,30.0,5.0,55.288,26.425,278.433,3.692,0,3,1,3,3,0
0.0,0.3,0.0,0.0,145.114,39.324,154.298,4.613,2,3,3,3,5,0
0.0,0.2,10.0,0.0,638.93,65.129,53.541,6.006,4,3,3,2,7,0
0.0,10.0,86.0,0.0,74.366,88.203,13.374,11.514,2,3,1,3,3,0
0.0,10.0,86.0,0.0,102.039,87.216,14.658,13.672,2,3,1,4,3,0
0.1,5.0,30.0,5.0,60.266,27.895,258.488,2.853,0,3,1,3,3,0
0.0,3.0,100.0,0.0,166.462,38.241,161.499,4.452,0,5,1,4,3,0
0.01,15.0,0.0,0.0,85.712,34.894,186.579,10.016,0,3,1,3,5,0
0.0,10.0,100.0,0.0,247.934,0.552,12300.0,-1.228,0,3,1,2,3,0
0.0,15.0,90.0,0.0,92.682,23.814,319.923,4.647,24,3,1,3,1,0
0.01,10.0,20.0,10.0,113.958,50.519,97.947,2.7,5,3,3,4,3,0
0.0,20.0,30.0,0.0,70.923,55.253,80.989,-3.823,6,3,1,4,2,1
0.01,5.0,0.0,3.0,41.576,25.041,299.344,-22.307,20,1,3,4,5,0
0.0,1.0,30.0,0.0,135.491,42.188,137.037,0.329,15,3,1,2,4,0
